web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665497455-11","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","TobieT1998","Denver, Colorado11 contributions3 helpful votes","Pure solitude","We stayed for just one night and were lucky enough to have the place to ourselves.  The property, pool and hot tub are amazing. The villas off the pool have basic kitchen amenties (sink, small fridge and microwave), so plan accordingly when bringing your own food. It's perfect if you plan to grill. I'm glad we found this off the beaten path gem.","Date of stay: April 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-12","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","crazy12234","Singapore100 contributions63 helpful votes","A resort too beautiful","We went to Hawaii 2 weeks ago for our honeymoon, and our first stop was at Big Island. We stayed at Lai Nani for 5 days 4 nights, and it was one of our most enjoyable stays. 

The place is run and managed by Cory and his team. They did a fantastic job in keeping the place neat and tidy. Every morning we would see them doing gardening and cleaning the estate! Great dedication from the team.

There are three bungalows in the estate for stay, and ours was nearest to the ocean. It was really great. We would wake up and walk out to the yard and we would see the ocean. There's even a common pavilion right at the end of the backyard which has the best spot to chill and admire the view. It was breathtaking. Cory mentioned that during whale season, they would even come very near to the estate!

The estate also has a pool, jacuzzi and bar area for people to enjoy. The pool is sonar powered so in the night, the water still remains warm which is fantastic. And at the bar by the pool, there's a cable to link up to phones for music. And the best part is that the speakers are also linked to the pavillion and the surrounding pool area! We were just so wow-ed by all the fine details and planning that went into this place to make guests truly enjoy their stay.

The bungalow was also very cosy, with a king size bed, mini kitchenette pantry (including a fridge and coffee maker), toilet, wardrobe area and sofa seating. It was really spacious and very inviting! The decorations all around were very ""hawaiian"".

We were allowed to park at the estate (free parking) during our stay. The location is good, it is secluded but yet near enough the city/ Hilo area - around 15 minutes drive. There's a scenic point, ""Pepeekeo"", near here. We highly recommend it! It's 4km longer but the scenic view of the sea was amazing, and there's a little hiking route you can take that can be done in 10 minutes and brings you down to the bottom of the cliff.

There's also a famous and highly recommended zipline just right across the estate, around 3 minutes drive. Our only regret is that we didn't book in advance and didn't manage to get any slot on our last few days there.

Overall a great location, and a beautiful stay. A great place for honeymooners like us and couples especially!","Date of stay: July 2015","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-13","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","mehorst","Denver, CO56 contributions32 helpful votes","Relaxing resort on the Hilo side of the Big Island","My wife and I spent three relaxing days at Lai Nani Resort and are very glad we learned about it on Trip Advisor in time to book it. There are only three bungalows, each with a patio and propane grill, and the grounds include a pool, hot tub, and a beautiful gazebo looking out to the ocean, and are beautifully landscaped.  The bungalows are large and private, and come equiped with a refridgerator and dinnerware.  There is no daily housekeeping service but we didn't have a need.  Cory will provide fresh towels upon request as well as ice.  If we ever go back to the Big Island, this is where we will stay.","Date of stay: June 2015","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-14","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","lmc2003","Mont Belvieu, Texas174 contributions31 helpful votes","Nice relaxing stay with great management","Great room for our visit. It had a king bed with a pull out sofa so perfect for the 3 of us. It had a full sized refrigerator so we brought left overs from dinner home and had them for breakfast. The pool was relaxing and they provided plastic cups to being beverages to the pool. You could sit and listen to the waves crash below. The manager offered to help set up excursions as well.","Date of stay: March 2015","null","ui_bubble_rating bubble_40"
"1665497455-15","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","waynecwlau","Geneva, Switzerland52 contributions34 helpful votes","A wet side Big Island resort for those who like solitude","I have stayed at Lai Nani many times over the past two years. In reading the reviews below, I feel it might be helpful to describe why Lai Nani is such a special ""Resort"" to clear expectations. If by ""Resort"" one is referring to large upscale places with lots of facilities, activities, and ""reputations"", you won't find this at Lai Nani.

The true ""Resort"" quality of Lai Nani is that it can only has three rooms. So one has the solar heated pool, hot tub, gazebo, and fantastic bluff views of the ocean virtually to oneself. It is perfect for romantic couples just wanting to be into themselves, or families fed up with competing for pool side chairs/gazebos and noise (unless making it themselves). In season, there are so many whales in front of you, some nights are difficult to sleep with the noise they make breeching and tail flapping.

Those hoping for a dry side ""Resort"" on the cheap on the Big Island will probably be happier staying at one of the standard big hotels in Hilo.","Date of stay: January 2015","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-16","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Emily D","Sevilla La Nueva, Spain102 contributions39 helpful votes","Lovely Place To Stay","I stayed at Lai Nani Resort in Jan 2015 for over a week and really enjoyed myself. The rooms are clean, the property is beautiful overlooking the ocean, and the owner Corey was very hospitable. I think a person/traveler should feel blessed and grateful for the experience instead of having expectations that lead to negativity. So I say bravo to Lai Nani for the serene and comfortable atmosphere they provide. Thank you Corey.","Date of stay: January 2015","null","ui_bubble_rating bubble_50"
"1665497455-17","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Patrick T","1 contribution","Great place for couples!","My wife and I spent two nights here on our honeymoon. The setting is gorgeous for a sunrise - set on the cliffs of the Big Island (not too close). We arrived late at night, it was out of the way, a few miles outside of Hilo. If you are looking for a quiet place to enjoy time with your significant other, while free to make the short drive into the city, this is a fantastic place. 

Cory stayed up late to let us in, and after a brief tour, he handed us the keys and presented us with a surprise bottle of champagne in honor of our recent wedding!! The bungalow had been well kept, and was clean and private. The bathroom windows had been mentioned as see through in past reviews - this has been fixed. The grounds have been decorated, with the best point being the Gazebo nearest the ocean - a great place to watch the sun come up! The pool was very pleasant to swim in. This is a small resort, but Gary and Cory have worked hard to keep it beautiful and personal. We would happily return! Thanks you two!","Date of stay: July 2014","Trip type: Traveled as a couple","ui_bubble_rating bubble_40"
"1665497455-18","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","aussimmo","Sydney, Australia3 contributions9 helpful votes","Personal touches aplenty","If you want a resort that offers 24-hour room service and a thousand in-house activities this is not for you. If you want a place with clean, large, well-equipped bungalows, with fantastic views, with a beautifully landscaped and maintained property, and with an enticing pool and surrounds you won't find any better. But most of all you'll be staying at a resort with Cory, the owner, and his small team who will go out of their way to ensure you have a wonderfully relaxing and memorable visit. I am in a wheelchair and Cory had no hesitation helping me (I.e. lifting) in and out of the pool, fixing my chair at one point, and advising, organising and getting a discount for things we wanted to do during our six days on the Big Island. Lai Nani Resort is highly recommended by my wife and me.","Date of stay: July 2014","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-19","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","NomadWithOptions","New York City, New York18 contributions11 helpful votes","Beautiful cottage on magnificent grounds","My wife and I stayed for almost a week in December and enjoyed every second.  We just happened to be the only ones staying that week and felt like royalty.  We made a stop in town to stock up on some food, filled up the fridge and never wanted to leave.  We did though, of course, as there is so much to do, but we could've stayed forever.  As the title reads, the grounds and environment were pristine. From whale watching off the cliff, to swimming in the lagoon-like pool we were very impressed.  If you're on Hilo-side and looking for a great place to stay look no further.

Big thanks to Gary and Cory!","Date of stay: December 2013","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-20","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Tatiana E","Seattle, Washington1 contribution1 helpful vote","Come as a guest, leave as a friend","My husband and I came to the island last month to celebrate my 40th birthday and Lai Nani turned out to be the perfect choice. I fell in love with the place just looking at it on their website, but in real life it was much more than I expected. First of all, the place itself is absolutely stunning, with a panoramic ocean view, beautiful garden, lawns, gazebo (with a fan!), a pool with a little waterfall, etc. If I believed in paradise, this is how it would look. 
Our pool side bungalow was very clean and comfortable, with a giant bed and soft pillows. Had a surprisingly good sleep there - I rarely sleep well on our trips because I almost never feel as relaxed as I did at Lai Nani.
Every morning I would wake up with birds, make myself coffee and came out to the gazebo to watch the sun rise and the whales. Every night we would spend at least an hour star gazing, the sky is so beautiful there. And during the days… There are lots of things to do during the days. Stay in and watch the wales, have cocktails in the gazebo, dip in the pool or soak in the adjacent hot tub. Or drive around and have fun. My husband and I are not into beach activities, but there are plenty of other things to do on the east side of Hawaii Island. Lai Nani is located about 15 minutes north of Hilo and almost next door to spectacular Akaka falls, Botanical Gardens, zip lining, horseback riding and other entertainment.  If you drive through Hilo to the south, you’ll find black sand beaches and the volcano park. Or drive all the way down south and hike to the green sand beach or just take a look at the beautiful bright blue water of the southernmost point of the US. 
The greatest part of what we liked about our stay at Lai Nani were the people and, most of all, the owner of the place, Garry. When we arrived he welcomed us with his open arms and guided us around the place and the bungalow while talking about the island activities. We had dinner reservations for my birthday, but then we were invited by Garry to share dinner with him and his friends and other guests. Garry made a fabulous prime rib with all the works and we enjoyed the company and wine on the terrace. I was surprised when the hosts took out the cake with candles to celebrate my birthday, which was completely unexpected, but so-so touching and wonderful. “You come as a guest and leave as friend,” Garry says and you believe that he really means it.
The last but not least, Garry talked us into a zip lining with the Umauma Experience and a helicopter trip with Paradise Helicopters (and I am afraid of heights. At least I thought so).  Both places were fantastic and highly professional and gave us great discounts after we mentioned Garry’s name and Lai Nani.","Date of stay: January 2014","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-21","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Kri-Mi-Al","Munich, Germany1 contribution","Welcome to paradise","We stayed here for a week with our 3yr old boy - and we loved it! 
The bungalow, the pool, the picture-postcard pavillion and the ocean view are amazing. The sign 'welcome to paradise' was no exaggeration. Gary, the owner, also gave us great travel advise and even invited us for a wonderful Christmas dinner on Christmas eve, which made our stay even more special and unfortgettable. He also was very considerate about the little one.","Date of stay: December 2013","Trip type: Traveled with family","ui_bubble_rating bubble_50"
"1665497455-22","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Tim S","Redcar, United Kingdom15 contributions25 helpful votes","Breathtaking time in the serenest of settings","Simply superb.  Although this review is long overdue - and my apologies for the tradiness - My partner and I stayed with Gary and Cory back in June of 2012, hiring a car and touring the Hawaiian islands for a month.  We spent 3 nights here and couldn't have been happier.  Upon arriving Cory took us on a guided tour of the grounds and the local area, explaining all the attractions and suggesting activities for us to do.

The rooms/bungalows were clean, tidy and well supplied - from a self catering perspective all we wanted was the BBQ and a local shop to buy groceries from, which although not a walk away was only a 10 minute drive.  But you do have microwave etc.

The bed was comfy, the sheets clean - and we got 3 very well rested nights here after a lot of walking and exploring through the day.

The tireless work that goes into maintaining the grounds does not go unnoticed - we were blown away by its beauty, spending our evenings in an Eden like paradise with the pool all to ourselves and the music system playing our selection of music from the iPod as we relaxed and took in the place.

In short this is a sublime place, although a little out of the way from the main town, we enjoyed that as our goal was to have a road trip - it was lovely to come back to a friendly welcome and a beautiful home.

Thanks guys for all of your help.  We would make a point of staying here again without question.","Date of stay: October 2012","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-23","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","B688338","Kansas City2 contributions","A great place to stay with a nice pool and accomodating hosts in Hilo.","Our stay at Lai Nani was great! From the zip lining, amazing ocean views, private accomodations, and personal attention, this place had it all. I would highly recommend staying here if you are looking for that local feel with a resort atmosphere. I will say, be ready to cook your meals as there are not many restaurants nearby and rent a car. Gary and Cory were amazing hosts and truly made our trip that much more memorable :) We look forward to staying here next time we come to Hilo!","Date of stay: July 2013","null","ui_bubble_rating bubble_50"
"1665497455-24","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","jusfaith","3 contributions1 helpful vote","Best vacation ever!","Stayed at lai nani the owners Garry and Cory were very nice and helpful took me zip lining and horse back riding. Resort is really clean has nice ocean views and the yard has lots of beautiful plants and flowers. Can't wait to stay again.","Date of stay: June 2013","null","ui_bubble_rating bubble_50"
"1665497455-25","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","tranascimento","1 contribution","Best place for a get away vacation!","Hi me my two children and husband had the time of our life staying at lai nani resort. We got to swim in the pool and relax in the jacuzi. The owner Garry made us a wonderful prime rim dinner and also took us sight seeing to the beautiful waterfalls.","Date of stay: June 2013","null","ui_bubble_rating bubble_50"
"1665497455-26","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","jasonandlaura26","La Grange, Kentucky175 contributions66 helpful votes","Stunning views but needs daily housekeeping","The property is in a very good location for visiting the Hilo area waterfalls and botanical gardens. Lai Nani is beautiful with gorgeous gardens and a lovely pool and hot tub overlooking the ocean. The room we stayed in was air conditioned, comfortable and right by the pool. We especially enjoyed the stunning ocean views. However, we were disappointed that the room was not cleaned daily. We had to wash our own dishes from the breakfast that we prepared ourselves, and would have liked fresh towels. The owner and his son were very friendly and would have provided extra towels if we had asked, but it would be better to not have to ask for everything. Guests already have to ask beforehand to turn on the hot tub since the switch was in a locked box. We also ended up with ants that got into some food that we had purchased. It would also be a good idea for the owners to put some sort of shade or curtain up in the bathroom for a feeling of privacy for guests who are showering.","Date of stay: April 2013","Trip type: Traveled as a couple","ui_bubble_rating bubble_40"
"1665497455-27","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","TheTravelingTwo_5","Chico, California68 contributions24 helpful votes","Just a fancy Super 8","Yes, there are beautiful views and the grounds are lovely.  BUT at $250/night there were some real deficits with this place.
1.  At similar properties we've stayed at in various place around the world, a breakfast is included in the cost.  NOTHING here.
2.  Woke up to ants in bed the second night morning we were there.  Yes, they were tiny and ""only"" about 3-4 but ick.  Politely mentioned to owner and basically were told that they love food sitting around and that we should make sure it was all put away.  Which leads to the next issue:
3.  No cleaning or room service the entire 4 nights.  We are pretty tidy people, but garbage still accumulates.  No bed change or remaking.  Extra towels stored under sink, but no dirty linen removed.  
4.  Two tiny bars of soap you would find at cheap motel and little shampoo sample.  This is not what I expect with the high cost of the room.  Yes, a Motel 6, but not here.

5.  Shower is badly designed.  Only hot water available from solar tank on top of roof.  No cool water and you have to sort of play with the water a lot to be able to shower.  The shower head is in the ceiling and you can't turn on water without getting drenched in hot water and jumping back out as quickly as possible.  The floor is sloped so much that you must straddle the drain and hope you don't slip while attempting to wash your feet.

6.  While not really snooty about furnishings, it's got the look of tacky island 80's.  Needs updating.  
 7.  Bathroom window lacks privacy.  Not frosted glass and sloping walkway allows views of your bathroom at night that were really freaky.

There is A/C which is nice, but owner let us know how much the electric bill was each month.  We didn't mind turning it off and saving the electricity but do guests really need to hear how much his bill is?  He also mentioned nearly every time we saw him how much upkeep there is to the place and how hard he works to maintain it.  Just seemed tacky and inappropriate to share that with guests.  It felt like he was inflating the price of the place to keep up with his landscape costs.  Had to tell us how much money he'd spent on plants.  Very off-putting. 

So,all in all we would never spend this kind of money for an ocean view again.  We've stayed in many places while vacationing and adapt well to all kinds of accomodations so aren't as fussy as it might sound.  Just be aware of these issues and if they don't bother you, spent all the money you want for the view.","Date of stay: May 2013","Trip type: Traveled as a couple","ui_bubble_rating bubble_20"
"1665497455-28","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","Matthew Cunnah","London12 contributions10 helpful votes","Honeymoon Private Paradise","Gary & Cory are lovely guys, and the most obliging hosts. My wife & I stayed here for the 2nd part of our honeymoon and it is a truly remarkable setting, with a cliff top view of the ocean, sat in the hot tub enjoying a glass of wine - it really does not get a great deal better!

We were also at the resort for New Year, and the guys invited us to their NY party and provided us with the most fabulous food and drink all night asking nothing in return. Real Aloha spirit. 

Lai Nani is a fabulous place to use as a base to explore the beauty of the big Island if you want to keep away from the commercialised west coast. One day we will return... but I have to save up my pennies first. Well worth a visit.","Date of stay: January 2013","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665497455-29","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","sharonpeck","Naples, Florida3 contributions2 helpful votes","Truly magnificent!","You'll never know the true value of a moment until it becomes a memory. . . Lai Nani Resort! My journey to the 'Big Island' began when I stood at the top of the stairs at Lai Nani and looked out at the amazing view of the endless miles of the Pacific Ocean where the view appears to never end. Seeing and hearing the sounds of the Humpback Whales, and at times hearing nothing but the palm fronds blowing in the wind. Lai Nani is truly a sight to see, and one of the most amazing places I've ever been! The grounds are stunning, customer service outstanding, and talk about clean! On top of all of that, Garry and his son Cory (owners of Lai Nani) greet you with open arms and make you feel like your part of the family. Garry and Cory are extremely knowledgable of the local area, as well as the 'Big Island' itself. They go above and beyond to make sure your stay is a memorable one, and to top it off, you leave with two new friends! Lai Nani is as timeless as the ocean, and will definitely return.  I recommend this place to everyone!","Date of stay: March 2013","Trip type: Traveled solo","ui_bubble_rating bubble_50"
"1665497455-30","https://www.tripadvisor.com/Hotel_Review-g60581-d1724301-Reviews-Lai_Nani_Resort-Hakalau_Island_of_Hawaii_Hawaii.html","susanad","Abu Dhabi11 contributions54 helpful votes","outstanding customer service","Garry and Corey the owners really make this hotel. The location is stunning and there service is outstanding. Saldy I could only stay 2 nights but hope to go back for longer period soon.
They really take customer service to another level. thanks gents, and sorry for late review.","Date of stay: February 2013","Trip type: Traveled solo","ui_bubble_rating bubble_50"
