web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665423503-11","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Str8frwd","Enfield, Connecticut168 contributions92 helpful votes","Very Nice Stay. Excellent customer service.","We stayed here for 1 night upon our arrival and for two nights at the end of the trip. We took advantage of their valet parking which was convenient. Anytime the car was needed it was brought up for us very quickly.   The staff at this resort are super friendly and make this hotel extra special. 

It was nice to have the room ready early upon our arrival and we has a spectacular view from the room on the tale end of the trip.  There are fireworks every Friday at 8pm which you might be able to view from your balcony, but we were out to dinner at the time of the display.   The rooms have a washer and dryer available and they provide soap and dryer sheets for your use.  

The beach is a short 4 minute walk and they provide beach towels for your use.    We dined at the resort for breakfast and also ate at the BLT steakhouse on the last night there.  Both were good. There are plenty of shops and restaurants in a short walk from the hotel which was convenient.  

The beds were very comfortable and the kitchen was well equipped for our stay.  In the first room we had a bathtub/shower combo but in the second we had an open area shower next to the tub.    The bidet toilet was an extra plus for the hotel.  

Would definitely return to this hotel.","Date of stay: September 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665423503-12","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Ava X","Linwood, New Jersey188 contributions74 helpful votes","Outstanding!","This Hotel is absolutely beautiful and outstanding in every way! From the moment we arrived to the moment we left, our stay was wonderful. We had Suite on 30th floor, overlooking Ocean. It had everything we needed and more: full kitchen, washer, dryer, 2 bathrooms… and everything very clean. Hotel Staff is very friendly and helpful. We would definitely stay there again!","Date of stay: August 2022","Trip type: Traveled with family","ui_bubble_rating bubble_50"
"1665423503-13","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","hyerhi l","분당2 contributions","Spacious room and professional staff","Service was really friendly and professional.
Room was very spacious and all the appliance was great. Even small pool was nice as it was great for the kids. I would like to stay Trump hotel again for next holiday.","Date of stay: August 2022","null","ui_bubble_rating bubble_50"
"1665423503-14","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","BrianTheTraveler77","Arlington, Texas136 contributions148 helpful votes","Unbelievable Stay!","Stayed 10 nights at Trump Waikiki.  We are very seasoned and very picky travelers and could not find one thing that was less than outstanding.  Beautiful and immaculate, this hotel is every bit of a five star hotel.  Thoroughly enjoyed our stay!","Date of stay: August 2022","null","ui_bubble_rating bubble_50"
"1665423503-15","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","TTJen","Madrid, Spain81 contributions75 helpful votes","Trump vs Sheraton !","Trump : Fancy . Doting on your every move . bLT restaurant great! They upgraded us because of Amex platinum to a suite with a washer dryer
That comes in very handy for 3 weeks! Now I think every hotel needs one !

With Amex platinum , you also get free breakfast for two (awesome hot and cold breakfast with 1/2 buffet ) 

Within 5 minutes of Royal Hawaii  and Sheraton boardwalks 

Pool is small infinity pool overlooking city 
Lots of kids by 12/1 

Gym is small but lots of high end equipment and free water bottles

Much classier than Sheraton 

Sheraton: bigger /louder . More Kids /families 
Suites are smaller
The pool is first come first served! Unless you book on a separate website for your 60$-300$ covered chaise or lounger . You cannot get one unless you booked a couple weeks  in advance

They also watch your seat at the pool
You cannot be gone more than 1 hour or they give your chair to someone else !!! 

Stressful a bit

No swim up bar

Lots of average places to eat 
Small beach with 75$ umbrella  service

3-3.5 star at best 

Great hotel with kids -they share a kid pool with royal Hawaiin

Shops are across valet

Middle of shopping district

We would do trump again in a heartbeat !","Date of stay: August 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665423503-16","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","jeffgee2022","1 contribution","Excellent","Highly recommended for family. Large room with full kitchen and laundry. Nice views with a deck. Convenient location yet on a quiet street. A little pricey but great service, friendly staff and  clean room.","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-17","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Lovethesun1001","3 contributions","Absolutely recommend!","From the moment we arrived everybody was helpful. The room was gorgeous and as requested.There was a cute Trump Kids stuffed whale and robe for our little girl. Super clean,huge bathroom.We’ll be back!","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-18","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Ladylyn16","San Diego, California33 contributions18 helpful votes","Great stay!","We stayed at one of their suites with den - great size, full kitchen, 2 pull out beds, king size bed, big living area, and washer dryer. It was comfortable and clean! Location is perfect, right across the beach and nearby restaurants. Quiet area and not busy unlike other hotels/resorts. Valet and staff were amazing - very friendly and attentive! Walkable to Hilton lagoon. We will definitely be back!","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-19","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Swietlana S","Walnut Creek, California4 contributions1 helpful vote","Excellent stay","Excellent stay! The service was great. Loved the cleanness and the freshness of the rooms. The AC worked great (it’s a main factor for me). The only wish I have, that location could be closer to the ocean.","Date of stay: July 2022","null","ui_bubble_rating bubble_40"
"1665423503-20","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","BevTonyAuckland","Auckland, New Zealand120 contributions96 helpful votes","Excellent service","We stayed on our 50th wedding anniversay. Staff were fantastic and in addition to providing great service also gave us a room upgrade.
The rooms are well equipped with a very comfortable bed. Rooms are also quiet.","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-21","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Hola0711","1 contribution1 helpful vote","Trip with mom","Very good location, nice severvice. I will definetely stay at Trump if I visit Wikiki again.
One thing, pillows are too soft. I did not ask to have hard ones but they are anyway too soft. 
Except that, other things were all perfect.","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-22","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Guilherme P","Sao Paulo, SP107 contributions64 helpful votes","Great experience! Good infrastructure with an amazing service","We really enjoyed being there for 14 nights. The suite was always extremely clean. The employees courtesy and attention to the details were outstanding. The building and all the equipments are new and well maintained.","Date of stay: July 2022","Trip type: Traveled with family","ui_bubble_rating bubble_50"
"1665423503-23","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","jenniferB6674JN","Los Angeles, California1 contribution","Everything as described on website.","Our 2 room suite had a beautiful view as described on their website. Very spacious and decor made us feel like home. The staff was the one of the BEST I’ve ever experienced! They were attentive and courteous beyond measures. My family and I have traveled to many places and have stayed at very high-end resorts. The staff here was the highlight of our stay!","Date of stay: July 2022","null","ui_bubble_rating bubble_40"
"1665423503-24","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","nsimpson1130","DeSoto, Texas3 contributions1 helpful vote","Outstanding service","This property had impeccable, superior service. The only reason I could not rate the hotel five out of five was due to the lack of entertainment, the very small pool size and the overly firm mattress. When I called housekeeping at 1:41 AM to request what I thought was the impossible, a mattress topper, they were at our door within minutes with a mattress topper. That's extraordinary!! Any amenity that we requested was instantaneously available. Additionally, the entire staff was so friendly and accommodating it was unreal. No one was motivated by tips, just making your experience the best that it could be was their motivation.","Date of stay: July 2022","null","ui_bubble_rating bubble_40"
"1665423503-25","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","cristyle007","1 contribution1 helpful vote","Clean, quiet and amazing staff!","So glad we choose to stay here, we just love how clean, quiet and more relax this hotel compared to the rest of the hotel in Waikiki. We are definitely coming back and highly recommend this hotel to everybody!","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-26","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","vany562","1 contribution","Simply Amazing","All staff deserves 5 stars !! We Never had an issue during our week stay. everyone  was so warm and welcoming and went above and beyond to make my family feel at home
Amazing service , valet, housekeeping, room service, front desk, concierge Everyone! 
Definitely coming back","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-27","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","dtnatori","Honolulu, Hawaii1 contribution","Trump Hotel","Facilities and service are excellent.  They always make the family feel welcome here.  The rooms are large, comfortable, clean and well equipped, and they are very accommodating with special requests.  Food is great too.","Date of stay: July 2022","null","ui_bubble_rating bubble_50"
"1665423503-28","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","nycgal77","New York City, New York50 contributions29 helpful votes","really great stay in Waikiki","We had such a great stay! It was perfect to have a 2 bedroom suite.  We had so much space and it was so convenient to have our own washer/dryer. The room was gorgeous and clean and daily housekeeping was wonderful.  It was so nice to have a kitchen.  Housekeeping ran and unloaded our dishwasher for us - so nice! Made it such a relaxing vacation!  Every associate we met was great. Sarah from  concierge was so helpful , Aaron from valet/bell, Roxanne, Conner and Camille from the restaurants just to name a few made our stay special.  My young child loved having a kids robe and slippers and special welcome gift.  The infinity pool was nice and relaxing though small.  I loved the fact that they had fitted towel covers for the lounge chairs instead of having to just lay towels over them.  We wish we could have stayed longer!  The breakfast was delicious- my whole family loved it and we loved the sushi at Wa'olu.  I would definitely recommend this as a great place to stay. If I ever go back to hawaii would definitely want to say here again!","Date of stay: June 2022","null","ui_bubble_rating bubble_50"
"1665423503-29","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","kinaiahi808","1 contribution","Best place in Waikiki","Overall experience was very good. Bed was on the firm to extra firm side. Hotel borders Fort Derissue so on side has view of a nice open space along with the Pacific Ocean and Waikiki beach. Hotel was very clean and all employees seemed genuinely happy.","Date of stay: June 2022","null","ui_bubble_rating bubble_50"
"1665423503-30","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","SWiriyan","Medan, Indonesia1 contribution","Perfect location and spacious room !","Location is perfect, just cross the street and you are in Waikiki beach. Lots of dining and shopping within walking distance. Room is spacious, clean and with plenty of amnenities. Kitchen is fully equipped.","Date of stay: June 2022","null","ui_bubble_rating bubble_50"
"1665423503-31","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Eva W","1 contribution","Missing personal item after just one cleaning!","We travelled as a family of 8. In our room my mother, my two children, and I stayed. Overall the stay was good. Location was convenient, service was good for the most part, and the pool was a bit narrow but clean and refreshing after a day out. Breakfast by the pool was lovely. 
Unfortunately, on the first day the room was cleaned, my favorite apparel disappeared. We keep our room organized and there are no articles of clothing that randomly get tossed in the wrong spot. In fact, I had placed it on top of the dresser before heading out for the day, as I intended on wearing it upon return. Still, we looked everywhere, just in case. But the room does not have many places where something could hide -- the bed doesn't have legs but rather a solid wooden base, and there is literally nowhere in the room for anything to hide. It was clearly missing. That was the only item that disappeared, from the top of the dresser, too. I ended up borrowing something from my mother to wear. This left a very sour taste in my mouth, and we ended up not getting the room cleaned for the rest of our stay. I did not want to risk anything else going missing. I wasn't able to wear my favorite apparel for the rest of the trip, and it was very inconvenient. It was very upsetting. I wish this never happened at such a highly rated hotel. For this reason, I don't think I will return.","Date of stay: June 2022","null","ui_bubble_rating bubble_10"
"1665423503-32","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Terrible Hotel","2 contributions2 helpful votes","Had to move from this hotel. Disgusting","Poor location not on beach. Staff has major attitudes. Bathroom was filthy, publc hair and nail clippings on floor. Not worth the price. Almost ruined our vacation. Ultimately moved to a different hotel on the beach for less money","Date of stay: June 2022","null","ui_bubble_rating bubble_10"
"1665423503-33","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","Jordan C","Honolulu, Hawaii3 contributions2 helpful votes","AMAZING EXPERIENCE","We booked a stay here to celebrate our marriage.  We booked the Kamaaina package and after some conversation checking in, we were upgraded to an ocean view room.  The Kamaaina package also includes complimentary valet parking as well as $50 resort credit a day, though we didn't end up using it because of all the great options in the area.  The service was phenomenal and the amenities both in the room and on property cannot be beat.  We will definitely be back, maybe for our first anniversary??","Date of stay: June 2022","null","ui_bubble_rating bubble_50"
"1665423503-34","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","conleymjt","1 contribution1 helpful vote","Excellent Experience","Trump Hotel provides an excellent experience to stay at in Waikiki.  The staff is attentive, quick to respond and friendly.  I cannot wait to stay here again.  What was also great is how quiet the area is compared to the rest of Waikiki.  You will not be disappointed.","Date of stay: June 2022","null","ui_bubble_rating bubble_50"
"1665423503-35","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","nicolechoate10","1 contribution","Great for our diverse family","We travelled with 6 of us, from 72 to 7, having a suite with different bedrooms and a den area along with 3 bathrooms and a full kitchen wad AMAZING.  Staff was absolutely terrific...helped plan activities, courteous, professional, and knowledgeable.","Date of stay: June 2022","null","ui_bubble_rating bubble_40"
"1665423503-36","https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html","barkle2022","1 contribution","Nicest Hotel room i have ever stayed in","nicest hotel room i have ever stayed in.  And i have stayed in several 5 star hotels over the years.
Beautiful ocean view 1 bedroom.  Everything was impeccable.     
Staff was responsive and extremely helpful.","Date of stay: June 2022","null","ui_bubble_rating bubble_50"
