web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665313922-76","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Tapir Trương","Bangkok, Thailand4 contributions","The most Beautiful resort in Chiang Mai","A beautiful combination between Art, History and Pleasure. Between Chiang Mai breakfast style & Vietnamese dinner style. 

The best time to travel in Chiang Mai should be November, December, January and February. Nice weather around 16 - 20* C.

One and only Villa Mahabhirom..","Date of stay: September 2022","Trip type: Traveled on business","ui_bubble_rating bubble_50"
"1665313922-77","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Rachael G","7 contributions1 helpful vote","Serenity!","What a gorgeous and zen property! The staff at this hotel are incredible- happy to assist with whatever you need. The breakfast and dinner food was excellent. Definitely order the northern Thai signature dish for dinner - or breakfast! The hotel is closer to the airport and a 15 minute drive to the old city (when there is no traffic) and an absolute haven. Highly recommend if you are looking for a peaceful, beautiful stay with exceptional staff.","Date of stay: December 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-78","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Schokojo","Munich, Germany67 contributions20 helpful votes","A gemstone in Chiang Mai","Hidden behind white walls near by the airport, there is a magic place in Chiang Mai... 

This is definitely by now the most beautiful place we've visited in the world. The art collection is astonishing and every corner of the property is an arranged carefully. 

The villas are spacious and comfortable. 

The taste of the food is well balanced and every dish is presented as a small piece of art. 

Villa Mahabhirom staff makes you feel welcome and there is no wish, they can't make come true. From vegan dishes to not too touristic attractions. 

Thank you very much for having us. This is a place we definitely will recommend to our family and friends.","Date of stay: November 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-79","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","sini","1 contribution","Gorgeous Villa Mahabhirom","We absolutely adored this hotel. We stayed in villa Mahabhirom for 3 nights in a private pool residence on our honeymoon. The owners of the hotel have created a beautifully unique haven of culture and relaxation. Holman and the whole team did everything possible to ensure that our stay was memorable & unique. Everything in Villa Mahabhirom, from the private pool to the spa and the restaurant, was sublime.

Even though the Chiang Mai city center is only 5 minute drive away, the hotel itself is so gorgeous that you don’t want to leave. We thoroughly recommend villa Mahabhirom if you are travelling to Chiang Mai.","Date of stay: October 2019","null","ui_bubble_rating bubble_50"
"1665313922-80","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","830to","127 contributions113 helpful votes","Amazing place","If you want luxury, this is the place, very well run hotel in a wonderful tranquil setting. Dinner around a beautiful swimming pool and breakfast for a king. You will love the thai style villas and grounds.","Date of stay: September 2019","Trip type: Traveled solo","ui_bubble_rating bubble_50"
"1665313922-81","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","BensAdam","2 contributions1 helpful vote","The best service we've ever received, from start to finish.","We had a three night stay at Villa Mahabhirom to start our honeymoon.  From start to finish every member of staff ensured that this was a perfect stay.  The staff are always on hand and ready to assist you, without in any way being intrusive.
Everyone is knowledgeable about the city, sites and available activities and are proactive in arranging things to make your city visits simple and enjoyable.  They have a range of companies they have information on for each activity, which gives you a nice choice.

Although the hotel is further out from the old city than most, this allows you more space than other places in beautiful grounds, with a lovely swimming pool and spa/massage services.  The rooms themselves (individual villas really) are gorgeous, with showers as well as standalone baths, air con and are all services several times each day-a lovely touch when you come back from a city trip.

The hotel offer free shuttles at any time of day to take you into the old city (airport collection and dropoff are also available for a small fee-1200 THB).  For other trips they can call you a private car.  If you want to save some money, you can take a private car out to sites like the temples and then get a public taxi for the return trip-might save you £20-£30 a day.
Taxis from the old city to the hotel cost between 150for a red car (communal taxi) or approximately 200-250THB for a private tuk tuk, neither of which are expensive.

I can't express again how incredibly friendly, competent and helpful every member of staff is, with the management team and senior figures being visible presences and incredibly helpful as well.  A really wonderful place to stay.","Date of stay: September 2019","null","ui_bubble_rating bubble_50"
"1665313922-82","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Dan K","26 contributions2 helpful votes","Impeccable!","Thank you for your hospitality and for the great care you took in curating an unforgettable 15th anniversary.  The food was incredible, the grounds and villas are second to none, and every member of the staff was attentive and kind.  VM is a bucket list experience for sure!","Date of stay: July 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-83","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","michelle mcgee","1 contribution","Most Perfect Hotel - best customer service, delicious food, & beautiful setting","Overall, wonderful customer service, amazing food, felt like we were home away from home. 

My friend and I agree that Villa Mahabhirom is the best hotel we have ever visited. They treated us like royalty from the moment we arrived. Everything about the service was impeccable. Lovely that we visited during low season and got the entire hotel to ourselves for the first part of our stay. We wanted to do some activities such as visiting an elephant sanctuary, Thai cooking class, temples, and the spa. The concierge arranged everything for us, including transportation. The villas are so clean & beautifully decorated, with plenty of space. The personal touch given by each and every staff member made us feel like we were guests at a home, rather than at a large hotel. The general manager, Holman, was a friendly face every day who made sure we had everything we needed. He always made sure everything ran smoothly. His entire team of waitstaff, front desk/concierge, housekeeping, and drivers also ensured we were always taken care of. They set an example for the highest quality customer service and attentiveness. We cannot say enough nice things about this hotel. 

We are so pleased with this stay. If we ever return to Chiang Mai, we will definitely stay again at Villa Mahabhirom.","Date of stay: June 2019","Trip type: Traveled with friends","ui_bubble_rating bubble_50"
"1665313922-84","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Wanderzest","1 contribution","A unique and stylish property","We arrived late in the evening after our flight into Chiang Mai and appreciated the warm and personal greeting as we stepped into this jewel of a property.  The exterior belies the exotic and unique setting inside where the small lobby opens into the expansive pool area that is flanked by these lovely wooden villas on stilts.  As I understand, these century old villas were purchased in central Thailand and transported here and carefully rebuilt and updated as luxury hotel villas.  They are situated in lushly landscaped property with nice modern touches and a blend of antique furniture.  The villas themselves are lovely and well appointed while still retaining the character of these ilder Thai houses.  Most importantly the staff are warm, friendly and genuine and absolutely reflective of lovely Thai hospitality.  A nice touch is that it is walking distance to Wat Umong which was one of our favorite temples in Chiang Mai.

Enjoy Villa Mahabhirom.","Date of stay: April 2019","Trip type: Traveled with family","ui_bubble_rating bubble_50"
"1665313922-85","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Jared M","New York City, New York32 contributions68 helpful votes","AMAZING","Incredible experience at a unique and character filled hotel. Villa Mahabhiromb exceeded all expectations, and we knew it would be incredible even before arriving. From the cleanliness, level of service, and general aesthetic appeal of the property, everything was 5 stars. Holman, the general manager, does an incredible job at running the hotel and Khem (sp?), who worked the form desk at night, literally went so far above and beyond what was needed, I cannot thank him enough. It was truly an experience to remember.","Date of stay: April 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-86","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Thomas S","Traunstein, Germany24 contributions18 helpful votes","Absolute amazing hotel","The check at the arrival was very professional and friendly. After the arrival in the room the luggage was prepared at the right place. The rooms are spacious and beautiful equipped in the typical Lanna style. Of course the evening service is part of the Mirhabhiromm team. Breakfast is good and the dinner is excellent. The prices are fair and reasonable.","Date of stay: April 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-87","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","fayrouz","Abu Dhabi85 contributions71 helpful votes","This place should be on the bucket list of everybody","A peace of heaven.. a hidden gem..all the beautiful things in one place.

Guest experience is incomparable.  After visiting hundreds of hotels across the world,  we can say this is the best in every single detail. 

Special thanks every person from the hotel management and team for being extraordinary.

We will certainly come back again.","Date of stay: April 2019","Trip type: Traveled with friends","ui_bubble_rating bubble_50"
"1665313922-88","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","mingsumon s","1 contribution","Amazing service!!!","We have been here to do a mini closed function in this incredible atmosphere. The staffs and their manager have arranged amazing moment for us both compacked meeting session and the impressive nothern food market ; Kaad Mua as dinner party. We quite appreciate their amazing services and very flexible for our individual needsssss!! 😊😊","Date of stay: March 2019","Trip type: Traveled on business","ui_bubble_rating bubble_50"
"1665313922-89","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Natnaree","Bangkok, Thailand10 contributions","Unexpected experience!!!!!!","We stayed at the villa for 3 nights. It was an amazing memory for us. The hotel is really gorgeous and all the staffs are very kind and helpful.We spend most of the time next to the pool.
The meals are really delicious. Also located not far from the city center. 

We will never forget this unreal experience in this villa. Really recommended this place to anyone who want to spend the holiday in Chaing Mai.","Date of stay: March 2019","Trip type: Traveled with friends","ui_bubble_rating bubble_50"
"1665313922-90","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Chirapath","6 contributions1 helpful vote","Superb Experience !!!","I have spent 3 nights at this hotel. Very impressive for all traveler who looking for excellence in service, room, meal and everything you need for great vacation. Located in de heart of Chiang Mai, but very private and quiet. What I love the most is the unique architecture of Thai tradition villa combined with modern and luxury decoration. I surely come back again.","Date of stay: March 2019","Trip type: Traveled with friends","ui_bubble_rating bubble_50"
"1665313922-91","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Thitikorn S","7 contributions","When Authentic fits perfect w/Modern Art","Villa Mahabhirom gives you an amazing Thai Villa 
that has it’s own history & story for years, combine with post-modern structure & decorations.You’ll have an unexpecting extraordinary experience in here! Also great service / foods(Khao-Chae is my recommended) ✨","Date of stay: March 2019","Trip type: Traveled on business","ui_bubble_rating bubble_50"
"1665313922-92","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","veeraphongj","Bangkok, Thailand386 contributions107 helpful votes","Good taste restaurant and Thai style villa","I have a chance to have lunch here at Villa Mahabhirom.  The taste of food is so impressive. This place is mainly hotel in Thai style and having the good restaurant.  

I recommend to couple or family with older children.","Date of stay: January 2019","Trip type: Traveled with friends","ui_bubble_rating bubble_50"
"1665313922-93","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","WVanichprapa","Bangkok, Thailand62 contributions72 helpful votes","Absolutely charming and truly special","We stayed for three nights in a pool villa, it was overall absolutely wonderful from atmospheric,services, meals, bedding, pools, villas and coffees.

The place is magical and could easily be a living museum, full of beautiful interesting arts and the design is so well executed from the lobby, pool, villa and restaurant.  Nothing is too small to be overlooked and attention to details from napkin to flowers in the public toilets are clearly shown.

Bedroom and bathroom in the villa are beautiful and very comfortable and every you feel and touch feel luxurious 

Thai food is really delicious and well presented and cheaper than Thai food at restaurants in any five star luxury hotels. 

Breakfast was yummy and again beautifully presented.  breads could be a little better. 

Services are excellent and Kham took perfect care of us. 

It’s not a place for kids who like to run around or elderly who can’t claim up and down to and inside the villas. Going to the the bathroom at night should be relatively challenging if you need to step up and down a few times. 

I wished you could have a gym","Date of stay: January 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-94","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","tasumner","New York31 contributions4 helpful votes","Stunning grounds and decor, top rate service and superlative food","A truly wonderful hotel.  The grounds are gorgeous with impeccable design throughout.  The food at the restaurant was some of the very very we had in all of Thailand.  The staff was tremendous, proactive and thoughtful.  They all seemed to know every detail of our travel and ways they could be helpful.  Absolutely first class. 

Only downside is location is closer to airport so there is occasional flight noise and it’s 20 minutes to cut center.  Well worth it. We loved this place.","Date of stay: January 2019","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-95","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","DrJ","51 contributions24 helpful votes","Exquisite Honeymoon Heaven in Chiang Mai","This is a breathtakingly and rustic-zen property from the architecture to the design, both interior and exterior. The dark teak wood beams, elegant furniture, statues and dark bottom pool allows for every view at this hotel to be a framable picture. At night, we would walk around the property to look at the architecture, which looked extra beautiful in the moonlight. 

As far as boutique hotels go, this is top notch. We were here on our honeymoon and were blessed with the most unbelievable private residence (that we even hosted friends for dinner at). We had a private pool and an amazing outdoor living room for lounging. The bathroom had the most amazing shampoos, body wash that if we had the room in our luggage, we would have brought some home. 

The staff was extremely accommodating and warm. We were only here two days (spent an entire day jungle elephant sanctuary, highly recommend!!!) and don’t consider ourselves needy people but if you are, you will definitely be well taken care of. 

If you’re staying in Chiang Mai, stay here. No brainer 

Justin and Lauren 
New York, NY","Date of stay: December 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-96","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","Passenger470573","Mill Valley, California2 contributions","What a gem!","Villa Mahabhirom was a delightful experience, from the stylish decor, gorgeous grounds, delicious food, to the exceptional, professional staff. Our room, Doi Suthep, named for the view of the Temple high on the mountain, was comfortable, spacious, and homey. The copper bath tub was wonderful. The staff, especially Oar and MIggy, were incredible in the personalized service and true friendliness they provided. They were an enormous help in a crisis when my husband unfortunately had to go to the hospital. The only slight drawback is the occasional noise from an overhead airplane, which we found to be not a problem. I highly recommend Villa Mahabhirom!","Date of stay: December 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-97","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","lunibean","Bangkok, Thailand41 contributions37 helpful votes","Great Enjoyment!","“Maha” in Thai means great while “Bhirom” means enjoyment, and that is the perfect name for this place.

Villa Mahabhirom is beautiful. Lovely Thai houses put together adorned with beautiful antiques and stylish decorations. Food is lovely and best of all is the service! All the staff are helpful and friendly. P’Or (I hope I’ve spelt her name correctly), the lovely team leader here, is very caring and she also makes fabulous suggestions of places to go. Without her, we wouldn’t have experienced the amazing lantern festival at the famous Haribhoonchai Stupa in Lumpoon.

To those who are afraid of geckos and dislike insects, we didn’t experience any while we were there! A very pleasant surprise!

True to its name, Villa Mahabhirom is a place of great enjoyment. We’ve enjoyed every minute of our stay and will certainly be back!","Date of stay: November 2018","Trip type: Traveled with friends","ui_bubble_rating bubble_50"
"1665313922-98","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","rebecca l","Vancouver, Canada4 contributions","Exceptional 5***** hotel","From the moment I got picked up from the airport, to the moment I left. Everything was perfect! I have been to a ton of 5 star hotels and this is by far the best one yet! 

When you first enter you are greeted and welcomed by the managers/ staff which are waiting upon your arrival! 

Also the villa is very beautifully made with small little details which you can’t find much of in Thailand! 

But what really stood out were the staff, they helped me with bookings, and planned out my whole itinerary when I was in Chiang Mai! Making my stay easy and relaxing without me stressing out what to plan next! Also all the staff were very helpful and friendly almost like family! One day I will make a trip back to Chiang Mai and experience this wonderful hotel again! 

All these little details and personal touches is what makes Villa Mahabhirom a remarkable 5 star hotel in Chiang Mai!","Date of stay: October 2018","Trip type: Traveled solo","ui_bubble_rating bubble_50"
"1665313922-99","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","CarloShanghai","Shanghai, China15 contributions13 helpful votes","Picture perfect ...!","When you arrive at this boutique hotel you can almost miss it as the outer walls hide inner beauty .... Enter in a picture perfect boutique resort where everything is thought out to give you amazement at every corner you turn..... The concept in itself is something tried before .... The village of 100 years ago with modern facilities .... but this boutique hotel goes beyond ... it marries ART, MODERN FACILITIES and ANTIQUES in a ""Picture Perfect"" way that you could only find in magazine such as Architectural Digest or Home and Country.... The owners however have also instilled a serene almost ZEN atmosphere and at the same time give you a feeling of being at home .... (or at a friend's home).   This is a privilege that is rare in resorts and even more rare to experience as the end game is making the client happy..... Well the host (GM is only a title) opens his house and together with his staff tries to satisfy all your wishes but without ever making you feel a client or a tourist ..... The property painstakingly refurbished and prepared over 7 years is amazing and allows a glimpse into another century lifestyle without forgetting the modernity of the hot shower or the cable TV..... The food is local mom's cooking with simple sober presentation but hides delicacies that introduce the local culture .....it was a privilege to have spent some time in this corner of paradise .... we will be back for sure ...Au revoir my friend .","Date of stay: October 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-100","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","oneoceanaway_","Singapore, Singapore91 contributions8 helpful votes","Unique, authentic and luxurious jewel in Chiang Mai","Villa Mahabhiron is a very unique project. The villas are over 100 years old teak houses which were bought in different parts of Thailand, renovated and reassembled at its current location in Chiang Mai.  The interior as well as the exterior design is very curated with art pieces from Europe and the Mekong area, creating an outdoor museum itself. It is a place of tranquillity and beauty where relaxation reaches new levels.  Below you will find our top ten highlights of the villas:

• Design: Beautiful teak houses which provide an historically authentic way of staying with modern amenities. The villas are very cosy and stylish. 
• Art: Amazing collection of art items within the old houses and in the greenery around them, the hotel is a museum itself. 
• Service: Very friendly and accommodating staff giving you the feeling of being home in Thailand. They are very attentive and charming, giving you your own space.
• Privacy: Private parts of the property with total intimacy for up to 6 people.
• Intimacy: There are only 14 villas, therefore the hotel never feels crowded. In the gardens or around the teak houses, there are many secret spots where you can find total tranquillity and peace such as the library or the tea house.
• Breakfast: Very delicious breakfast served in the beautiful bar area (try the fruit granola yoghurt bowl).
• Cocktails: Delicious, fruity and original cocktails accompanied with creative snacks.
• Cleanness: The rooms are very clean and the whole garden area is very well maintained
• Swimming pool: The pool with its black tiles allows the reflection of the buildings as well as the greenery and provides a perfectly designed relaxation area.
• Location: Convenient location nearby the airport and some shops like 7-eleven. Moreover, it is located within 5 min walking distance from Wat Umong temple.","Date of stay: August 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665313922-101","https://www.tripadvisor.com/Hotel_Review-g11879466-d12271873-Reviews-Villa_Mahabhirom-Su_Thep_Chiang_Mai.html","gsbmSinCAD","Chiang Mai, Thailand43 contributions59 helpful votes","Beautiful Charming Resort amidst noise from planes taking off.","This hotel is really a very beautiful and charming place. The staff were very attentive and extend out of their way services to make the guests comfortable and feel at home. The restaurants serve authentic Thai food and be reminded to tell the staff to tone down the chillis if you are not able to palate them. Breakfast is served to order and they were delicious.

The Spa is a definite must try and do book in advance.

I highly recommend this place to to stay for those who are not sensitive to noise. As for me, I will not return because I am sensitive to noise. We could hear the roaring of aircraft taking off over our heads every few minutes. The only time that it was a bit quiet was from midnight to about 6am. If you are hoping to sleep in for a bit be warned, you might be waken around 6am.","Date of stay: August 2018","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
