web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay date,trip type,rate
1662783410-23,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Tim C,,Great place!,The Little Bear's home is a fantastic place to stay. The staff is extremely attentive as well as helpful. Answered any and all of the many questions my friends and I had about tours and what not around Chiang Mai. Would definitely recommend!,Sep-17,Traveled with friends,5
1662783410-24,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Ryan B,,Little Bear's Home,Very cute and friendly place to stay. Located around many fun restaurants and temples to see. The staff was extremely accommodating and helpful with plenty of good suggestions of things to do in the area.,Sep-17,,5
1662783410-25,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,milanBedfordshre,United Kingdom,Brilliant,"Very nice clean.  Friendly staff. Loved the idea of no shoes allowed upstairs.  Great location. Only problem no lifts so have to carry luggage up, but I think that's the norm in most of the hotels we stayed in Thailand.  Would recommend definitely",Aug-17,Traveled with family,5
1662783410-26,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Mi_Kimmik,,Will teach me that I should believe in reviews!!!,"So... it was repeatedly written that the bed was very hard. Well guess what they really are! Horrible for the back still suffering from it!
The front desk staff are nice I suppose but really too young for this and lack of customer service skills...
The smell when you enter the place is agressive I guess you can get use to it. We open the windows as soon as we arrive and exit the time being to air the room.

But not all is negative let's be honest!
The location is good right in the middle of the old town square. The room is a good size and quiet area. You have food around the corner, fridge in the room with water bottle.",May-17,Traveled with friends,3
1662783410-27,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,DeanJ26,Slovenia,Excellent stay,Our stay at the Little bear's was excellent. We were planning to stay there for two nights but at the end we extend our stay for two more nights. The perfect english speaking staff was very friendly. The rooms were clean with all the amenities jou need. It is located at walking distance to the restaurants and bars but at the same time in a very quiet street. All in all a perfect stay for those who like quiet.,Feb-17,Traveled with family,5
1662783410-28,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Joann T,Australia,Quiet and compact,"This is REALLY close to the Sunday Walking Market, but down a side alley so also very quiet.   Being in the centre of the Old City everything is within walking distance..... massage centres, cafes, restaurants",Dec-16,Traveled solo,4
1662783410-29,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,sydnewton94,Minnesota,The BEST location!,"Little Bear's Home was essentially brand new when we stayed for about 4-5 nights. The room was spacious for 4 people and complimentary water each day was a plus! It could not be in a better location within the walls of the Old City. If you are there on a Sunday, the Sunday Market is located along the main street down from the hotel. We were about an hour away from the excursions we did (elephant sanctuary, tea plantation tour), but it is worth it for the price and awesome location. In the Old City, there are plenty of great restaurants, massage studios, souvenir shops, temples, and more--all within a 5-20 minute walking distance from Little Bear's!",Jan-17,Traveled with friends,5
1662783410-30,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,VinceK,,"Nice quiet location, spacious and clean room","Stayed for 6 nights. Hotel is clean as it's reasonably new and staffs are very friendly and Ms. Imm was very helpful in sourcing for transport and tours arrangement.  
A few local shops serving local food (noodle & rice) is just a stone throw away from the hotel. Hotel location is in the quiet area of old town and about 100m away from the 3 King's Monument. Very suitable for family stay but if you have trouble climbing stairs (especially when you have heavy luggage), request for a lower floor (4th floor is highest). The fridge and microwave in the room that we stayed was very handy too !",Dec-16,Traveled with family,5
1662783410-31,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,S W,New York,"Friendly staff, excellent location, spacious rooms - highly recommended!","Stayed for 3 nights around Christmas in a quad room.  My first impression upon entering the hotel was highly favorable - I liked the common areas, where there was a huge sectional and other lounging chairs, along with separate eating areas for a breakfast/snack bar.  Though you are required to take your shoes off upon entering the place, there were many nooks for shoes, so we never tripped over any.

The staff was extremely helpful.  My flight left on a Sunday, which happened to coincide with the Sunday night market.  As a result, my taxi to the airport was two streets away, and the receptionist actually walked with me (and carried my suitcase!) to the driver, who was waiting for me.  This was extremely professional and courteous service.  They were also helpful when I needed to book a taxi or tour - always very informative, with a good command of English.  

Location is fantastic.  Close to Sunday night market, Wat Chedi Luang, Lanna Folklife Museum and Wat Phra Singh.  Rooms were also spacious and well-kept.  Our quad room was cleaned daily, and were given 4 bottles of water a day, along with plenty of toiletries.",Dec-16,Traveled with friends,5
1662783410-32,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Anna A,,Would surely stay here again! 👌🏼,"Little Bear's Home was such a nice hotel and still pretty brand new. The hotel staff were also very friendly and helpful. It was very clean and our room for 4 was very big. More importantly, it's also in a very good location - right in the middle of the Sunday Night Market. Also, we each had one bottle of water everyday :) Would definitely stay here again ❤️",Nov-16,Traveled with friends,5
1662783410-33,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,davidehepburn,New Zealand,Great location and value hotel,"Little Bear's was awesome. Helpful staff, great location in old town, great value, v clean and functional. Everything we needed for 4 nights in Chiang Mai. 

We staying in the quad room - 2 adults and 3 kids under 11 - perfect space. 

Thanks for a great stay!!",Nov-16,Traveled with family,5
1662783410-34,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,KevinsmKoo,China,Clean & Convenient,Little bear's home is clean and covenient.  Just show 雙條車司機 the famous nearby Hainan chicken rice restaurant on the Google map of your hand phone. All the drivers know the place and send you back to Little bear's.,Nov-16,Traveled with family,4
1662783410-35,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,raffey,Italy,Ok,"We have slept in this nice hotel four nights.
The hotel is brand new and the decoration very cute with teddy bears all over the place.
While I enjoyed the location and the cleaniness of the place, there are a few things that wouldn't let me go back there.
1. The walls are too thin.
We were in the family room with three double beds on the first floor, with the window toward the back. The door was right above the reception area
We could hear eveything and everybody coming and going or waiting in the reception area, even very early in the morning.
2. Our room was dark. A little window for such a big room wasn't enough, so, even during the daytime you have to turn your lights on. 
The artificial lights are very ugly.
3.The girls at the reception are on the phone all the time watching videos and wouldn't even greet us.
4. You cannot walk in the hotel with your shoes on. Consequently you have all the other customers' shoes all over the floor when you get in the hotel.
But this doesn't have anything to do with the hotel, but the other customers politeness. Anyway a 4 star hotel reception doesn't have shoes all over the place.

5 su 5 stelle",Jul-16,Traveled with family,3
1662783410-36,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Tawit22,,Great location,"The room was pleasant with a comfortable bed and everything you could need ( tv, fridge,etc). Staff were always attentive and helpful. Decor was simple but tasteful. If you're looking for convenience at a good price this is the place for you",Mar-16,Traveled with friends,4
1662783410-37,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Jatupatr B,Dominican Republic,Cosy and comfortable,"We could not fault Little Bear's Home. It was perfect and great value for money. It is in a great location and the rooms are large and comfy. They are well decorated and having the kitchen was a bonus. The staffs was brilliant and helped us arrange trips and bus tickets direct, so either resulting in a saving or us paying face value, so saving us money. This is a unique and brilliant hotel and I would strongly recommend it for anyone visiting beautiful Chiang Mai.",Mar-16,Traveled with family,5
1662783410-38,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Virochana N,Malaysia,Superb!,"I love my stay in this hotel. We stayed in the Deluxe Family Room which consisted of 1 Queen, 1 King and a very spacious sofa. The room 301 which we stayed was equipped with a Samsung Smart TV, a microwave, fridge and hair dryer. I love the concept. Its in the heart of Chiang Mai Old City. The staffs are very friendly and very helpful. They made our stay very pleasant. Its only a walking distance to most temples in the old city. The food around the area are excellent. Restaurant Sirichai which is around the corner served the most delicious chicken rice with cheap price. I would recommend Little Bear Home anytime. I wish this hotel has an elevator though although its only 3 storeys high.",Mar-16,,5
1662783410-39,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,thailanddelightscom,United Kingdom,Little Bears home but not mine,"The taxi driver did not know this street where the hotel was. He would not drive round the block to gain access to this hotel in a one way street something that I found Tuk Tuk drivers saying and other local taxi drivers.  Arriving at the hotel after a long walk with luggage. The first thing was, please take your shoes off at the door. Approaching the reception the two staff struggled with  English. The first problem arose when I was shown to my room. 8 flights of stairs, no shoes on a very slippery staircase, no lift available. I refused to walk up stairs trying to carry all my luggage.  I had been put on the 4th floor. After unpacking I found the Wifi not working. I looked round the room, no telephone to ask reception about it. So I descended the 8 flights of stairs again to be told you had to pull plugs out and do this and that to the Wifi router to get it to work.The Wifi never worked while staying there. When going downstairs again I was told that the Hotel was locked at 10.00 pm every night, I had to take my room key  to open the door. No one was about at 10.00 pm.  At 01.00am the noise of doors banging, other guests screaming, and running about was not good. Next morning I found out the hotel didn’t have a  restaurant and no kitchen! I had paid for three nights but moved out after the noisy first night. This was annoying having to walk up the street each time I wanted to get to the hotel especially late at night.
Yes the bed was comfortable ( with 4 pillows ) yes the bathroom was new and clean. But I went out at 08.00am that first morning , I told the maids my room was ready for cleaning and I put the sign on. I returned at 04.00pm the room had not been made up!!! They were cleaning rooms on the floor I was on too.",Mar-16,,1
1662783410-40,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Asia J,Spain,expectacular ;),"We really loved this hotel: it's new, quiet, clean, equipped with air-conditioning, fridge, microwave... and huge, comfortable beds in rooms; The staff is very friendly and helpful ;) We fully recommend this place! 

Nos encantó este hotel: es nuevo, tranquilo, limpio, equipado con aire acondicionado, nevera, microonda... y enormes, confortables camas; Personal es muy amable y colaborador :) Sitio muy recomendable ;)",Mar-16,Traveled with friends,5
1662783410-41,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Nicole K,,"Great location,  great hotel and staff","We stayed here with our 4 year old boy. Really love the atmosphere, the rooms are great and clean. The staff is very friendly and helped patiently will our million questions. Wish it had breakfast though.",Mar-16,Traveled with family,5
1662783410-42,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Tan Wenjin,,Pleasant is the keyword,"Has a pleasant stay in room 302. Strategically located in the heart of the old city near temples, massage parlours and eateries. Sunday Night Market is just outside. Given that this hotel provides a homestay-like experience, there is no elevator and 24 hour concierge.",Feb-16,Traveled with family,4
1662783410-43,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,John L,South Korea,New Hotel in Center of Old City,"This place is so new taxi drivers don't even know it exists. The property has a hipster hostel vibe, but it is a full service hotel. The beds are hard as a rock and the staff are as friendly as it comes.",Dec-15,Traveled with family,4
1662783410-44,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Ellpatico,Canada,Sparkling Clean & Very Roomie,"This hotel is less than one month old. We may have been the first people to have slept on the very cozy beds. The atmosphere is nice and location is great, right in the old city. I would certainly recommend this hotel to anyone. It is my husband, myself and our 5 year old son from Canada.",Jan-16,Traveled with family,5
1662783410-45,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Audrey S,,Great little place,This place is very new. Everything is very new and clean. The doors are very thin but I think this is standard in Thailand of any place you stay. The staff is very helpful and accommodating. The nicest room I stayed In Throughout my Thailand trip.,Jan-16,Traveled solo,5
1662783410-46,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Sej and Simran N,United Kingdom,I would give it 3.5,"This is a lovely place which has only been open for 2 weeks. 
The rooms are well equipped with ac, showers, fridge, microwave and flat screen TV with a digital box. It has everything you need and more and the price is great. 
The bed is super comfortable which is great when you need the sleep but the walls are paper thin which means you will be woken up at 5am from the talking and the school opposite which sings on a microphone until 8am!
The toilets smell of a sewage system which can be off putting for most. 
As it's our honeymoon we needed the peace and quiet and wanted a more authentic place to stay in Thailand so we left after our first night. 
Depends on what you want and like but I wouldn't say this is a bad place to stay it just wasn't for us. 
The location is spot on. Right between the weekend night market which was great for our first night in chaing Mai.",Jan-16,Traveled as a couple,4
1662783410-47,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,John L,South,New Hotel in Center of Old City,"This place is so new taxi drivers don't even know it exists. The property has a hipster hostel vibe, but it is a full service hotel. The beds are hard as a rock and the staff are as friendly as it comes.",Dec-15,Traveled with family,4
1662783410-48,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Ellpatico,Canada,Sparkling Clean & Very Roomie,"This hotel is less than one month old. We may have been the first people to have slept on the very cozy beds. The atmosphere is nice and location is great, right in the old city. I would certainly recommend this hotel to anyone. It is my husband, myself and our 5 year old son from Canada.",Jan-16,Traveled with family,5
1662783410-49,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Audrey S,,Great little place,This place is very new. Everything is very new and clean. The doors are very thin but I think this is standard in Thailand of any place you stay. The staff is very helpful and accommodating. The nicest room I stayed In Throughout my Thailand trip.,Jan-16,Traveled solo,5
1662783410-50,https://www.tripadvisor.com/Hotel_Review-g293917-d9595619-Reviews-Little_Bear_s_Home-Chiang_Mai.html#REVIEWS,Sej and Simran N,United Kingdom,I would give it 3.5,"This is a lovely place which has only been open for 2 weeks. 
The rooms are well equipped with ac, showers, fridge, microwave and flat screen TV with a digital box. It has everything you need and more and the price is great. 
The bed is super comfortable which is great when you need the sleep but the walls are paper thin which means you will be woken up at 5am from the talking and the school opposite which sings on a microphone until 8am!
The toilets smell of a sewage system which can be off putting for most. 
As it's our honeymoon we needed the peace and quiet and wanted a more authentic place to stay in Thailand so we left after our first night. 
Depends on what you want and like but I wouldn't say this is a bad place to stay it just wasn't for us. 
The location is spot on. Right between the weekend night market which was great for our first night in chaing Mai.",Jan-16,Traveled as a couple,4
